TrackmanAbbreviation,Stadium,Level,League
ABI_WIL,AbileneChristian,D1,SLAND
AIR_FOR,FalconField,D1,MW
AKR_ZIP,UofAkron,D1,MAC
ALA_CRI,SwellThomasStadium,D1,SEC
ALA_HOR,Riverwalk,D1,SBELT
ALV_CCO,700-HughAdamsPark,D1,NJCAA
APP_MOU,Riverwalk,D1,SBELT
ARI_SUN,Arlington,D1,PAC12
ARI_WIL,Arlington,D1,PAC12
ARK_RAZ,BaumStadium,D1,SEC
ARL_MAV,UTArlington,D1,SBELT
ARM_BLA,ArmyWestPoint,D1,PAT
ASU_RED,KellField,D1,SBELT
AUB_TIG,PlainsmanPark,D1,SEC
AUS_GOV,RaymondHand,D1,OVC
BAL_CAR,SpringsBrooksStadium,D1,SBELT
BAY_BEA,Baylor,D1,BIG12
BEL_BRU,ESRosePark,D1,OVC
BIN_BEA,BinghamtonUniversity,D1,AMEAST
BOC_EAG,HarringtonVillage,D1,ACC
BRA_BRA,DozerPark,D1,MVC
BRO_BEA,MurrayStadium,D1,IVY
BUC_BIS,DepewField,D1,PAT
BUT_BUL,BulldogPark,D1,BEAST
BYU_COU,BrighamYoung,D1,WCC
CAL_ANT,GossStadium,D1,PAC12
CAL_BEA,DrPepper,D1,PAC12
CAL_FUL,GoodwinField,D1,BW
CAL_HIG,Peoria,D1,BEAST
CAL_LAN,705-CalBaptistBaseballField,D1,WAC
CAL_MUS,BaggettStadium,D1,BW
CAM_CAM,JimPerry,D1,BSOU
CCU_BLD,LSU,D1,SEC
CEN_MIC,KeilitzField,D1,MAC
CHA_BUC,CSUBallparkNielsen,D1,BSOU
CHA_FOR,UNCCharlotte,D1,CUSA
CIN_BEA,UCincinnati,D1,AMER
CIT_BUL,RileyPark,D1,SOCON
CLE_TIG,KingsmoreStadium,D1,ACC
COA_CHA,SpringsBrooksStadium,D1,SBELT
COL_CHA,BallparkAtPatriotPoint,D1,CAA
CRE_BLU,TDAmeritrade,D1,BEAST
CSD_TRI,UCSanDiego,D1,BW
CSU_BAK,HardtField,D1,BW
DAL_PAT,DallasBaptist,D1,MVC
DAV_WIL,IntimidatorStadium,D1,A10
DAY_FLY,WoernerField,D1,A10
DEL_BLU,BobHannahStadium,D1,CAA
DIX_STE,BruceHurst,D1,WAC
DUK_BLU,DurhamAthleticPark,D1,ACC
ECU_PIR,ClarkLeClair,D1,AMER
EIU_PAN,USIField,D1,OVC
